region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;recall. std;precision. std;fscore. std;K-Fscores
RightMotor;None_8;6;{'strategy': 'stratified', 'random_state': 5};['disc_IPU_left', 'IPU_left'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.49946808510638296;0.5006279014094863;0.49960045014592114;0.017200428613743966;0.01797058368349554;0.01780916578622231;0.48936170212765956,0.5132978723404256,0.48404255319148937,0.50177304964539,0.49379432624113473,0.5124113475177305,0.5288376220053239,0.49245785270629994,0.4658385093167702,0.5128660159716061
LeftSTS;None_8;6;{'strategy': 'uniform', 'random_state': 5};['IPU_left', 'disc_IPU_left'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.5018622527641954;0.526570364249168;0.5084475486187896;0.008786073285221196;0.022486544735547117;0.010348156174911348;0.49556737588652483,0.5,0.5026595744680851,0.5115248226950354,0.5062056737588653,0.49645390070921985,0.481810115350488,0.5084294587400178,0.5137533274179237,0.5022182786157942
LeftMotor;None_8;6;{'strategy': 'uniform', 'random_state': 5};['disc_IPU_left', 'IPU_left'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.5000004719741735;0.5119295602462502;0.5032098518166359;0.015272094030237725;0.017464199225249707;0.015403394731656132;0.4858156028368794,0.48138297872340424,0.5141843971631205,0.5159574468085106,0.49024822695035464,0.5070921985815603,0.49600709849157054,0.4755989352262644,0.515527950310559,0.518189884649512
RightSTS;None_8;6;{'strategy': 'uniform', 'random_state': 5};['disc_IPU_left', 'IPU_left'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.5061187518485656;0.5456319238132094;0.5165582901826201;0.014513731071814018;0.02533970885006653;0.015245370179969808;0.5026595744680851,0.5124113475177305,0.48404255319148937,0.5035460992907801,0.5274822695035462,0.5115248226950354,0.4782608695652174,0.5199645075421473,0.5048802129547472,0.5164152617568767
RightTemporoParietalJunction;None_8;6;{'strategy': 'uniform', 'random_state': 5};['disc_IPU_left', 'IPU_left'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.5053196995727061;0.5219239115498928;0.5097448293964774;0.008310671328839146;0.011215367926980524;0.00724819367885175;0.5079787234042553,0.5053191489361702,0.5062056737588653,0.500886524822695,0.5203900709219859,0.5062056737588653,0.5057675244010648,0.5137533274179237,0.487133984028394,0.49955634427684115
LeftTemporoParietalJunction;None_8;6;{'strategy': 'uniform', 'random_state': 5};['IPU_left', 'disc_IPU_left'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.506298023372161;0.523056739836792;0.5107497347685024;0.012315825225638326;0.019853124083987896;0.012683564406985173;0.4875886524822695,0.49645390070921985,0.523936170212766,0.48847517730496454,0.5106382978723404,0.5141843971631206,0.49955634427684115,0.5093167701863354,0.5093167701863354,0.5235137533274179
Hypothalamus;None_8;6;{'strategy': 'stratified', 'random_state': 5};['IPU_left', 'disc_IPU_left'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.5076287545545508;0.5222972019976683;0.5123047613597628;0.01189910985401757;0.015461799776812587;0.011984930306713777;0.5,0.5212765957446809,0.49556737588652483,0.5026595744680851,0.4849290780141844,0.5195035460992907,0.5066548358473825,0.5226264418811003,0.518189884649512,0.5048802129547472
GreyMatter;None_8;6;{'strategy': 'stratified', 'random_state': 5};['disc_IPU_left', 'IPU_left'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.5070050406841738;0.5078731885604197;0.5070614754564128;0.00872077408588825;0.00877853132129297;0.008522554563553907;0.5044326241134752,0.5159574468085106,0.500886524822695,0.5177304964539007,0.5,0.5141843971631206,0.5164152617568767,0.4906832298136646,0.49955634427684115,0.5102040816326531
WhiteMatter;None_8;6;{'strategy': 'uniform', 'random_state': 5};['disc_IPU_left', 'IPU_left'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.5031918826735133;0.5088772683772793;0.5046546144314414;0.006971740766039696;0.01176325011967967;0.007729306681986845;0.4973404255319149,0.5026595744680851,0.5062056737588653,0.4920212765957447,0.5124113475177305,0.5168439716312057,0.5022182786157942,0.49778172138420584,0.49955634427684115,0.5048802129547472
CSF;None_8;6;{'strategy': 'stratified', 'random_state': 5};['disc_IPU_left', 'IPU_left'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.5073587853272669;0.5175886640224929;0.5097231824140434;0.016691558702438984;0.031204944523934356;0.02168306516806503;0.500886524822695,0.4804964539007092,0.5283687943262412,0.5301418439716312,0.5132978723404256,0.5132978723404256,0.4933451641526176,0.5270629991126885,0.4906832298136646,0.49600709849157054
